palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
IMPOE,0.3558131,687,0.2551402,1608,0.0228664,2977
MIOPE,0.3558131,687,0.3321495,1481,0.0265448,2877
PIEMO,0.3558131,687,0.4734579,924,0.0380428,2187
PIRES,0.3558131,687,0.6616822,154,0.0500754,1228
FALTO,0.3557757,688,0.5949533,373,0.0561423,829
TINAM,0.3557383,689,0.5671028,491,0.0523434,1096
LIXAR,0.3557383,689,0.4519626,1021,0.0492216,1302
MINTA,0.3557383,689,0.5454206,597,0.0504655,1199
BANEM,0.3557383,689,0.5626168,513,0.0523257,1099
DURAM,0.3555888,690,0.5749533,453,0.0534245,1022
DURMA,0.3555888,690,0.511028,751,0.0495949,1268
MUDAR,0.3555888,690,0.4813084,893,0.0471091,1495
URDAM,0.3555888,690,0.442243,1067,0.0461289,1578
MENOS,0.3554019,691,0.5953271,371,0.0454071,1646
NOMES,0.3554019,691,0.5801869,431,0.0493396,1290
MACHO,0.3551028,692,0.5205607,709,0.0545399,942
CHAMO,0.3551028,692,0.3975701,1261,0.0352282,2381
NUMAS,0.3550654,693,0.5842991,414,0.0556476,862
BOCAL,0.3549907,694,0.4986916,811,0.0542978,957
TAXIS,0.3549907,694,0.5394393,625,0.0525761,1077
NODAL,0.3548411,695,0.4566355,999,0.0529887,1050
NOTEI,0.354729,696,0.484486,877,0.0421862,1914
NOITE,0.354729,696,0.457757,993,0.0386152,2146
UFANE,0.3546916,697,0.2170093,1622,0.0220594,2992
AGUDO,0.3545794,698,0.3990654,1258,0.0402267,2045
DOURE,0.3545794,698,0.4183178,1173,0.0355517,2358
INTUA,0.3543925,699,0.3338318,1474,0.0382768,2170
UNTAI,0.3543925,699,0.4028037,1241,0.0444428,1737
GRIFA,0.3543551,700,0.4259813,1139,0.0470675,1498
PENCA,0.3542804,701,0.566729,493,0.0547589,926
VEDAM,0.3542804,701,0.5530841,558,0.0561513,827
ADVEM,0.3542804,701,0.3852336,1307,0.037136,2259
DEVAM,0.3542804,701,0.5338318,648,0.0557545,853
INCOE,0.354243,702,0.2971963,1567,0.0246185,2932
ICONE,0.354243,702,0.191215,1629,0.0165844,3050
FETAL,0.3541682,703,0.5128972,742,0.0538768,988
FALTE,0.3541682,703,0.5063551,774,0.0469089,1512
BRIGA,0.3540561,704,0.4566355,999,0.0476237,1445
VIBRA,0.3540187,705,0.4564486,1000,0.0478695,1425
ILHAS,0.3539439,706,0.4635514,968,0.0504759,1197
