palavra_1,palavra_2,palavra_3,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
CLIPS,GRAXO,ZUNEM,0.8528972,322,1.2534579,1009,0.0908949,1998
BRUXA,CLIPS,FOGEM,0.8528224,323,1.333271,723,0.1075227,1156
BUFEM,CLIPS,GRAXO,0.8528224,323,1.2265421,1080,0.0894387,2028
CLIPS,FUNGA,VERBO,0.8525234,324,1.4626168,182,0.115769,233
CLIPS,FUNGO,VERBA,0.8525234,324,1.4626168,182,0.115769,233
CLIPS,DUNGA,VOTEM,0.852486,325,1.4104673,387,0.1087209,999
BRINS,CHUPO,VAGEM,0.8523364,326,1.3211215,775,0.1065849,1271
BRINS,DUPLO,VEXAM,0.8523364,326,1.3603738,609,0.1121862,572
BRINS,DUCHA,FOGEM,0.8523364,326,1.3878505,486,0.1091994,937
FILHO,PUXAM,TRENS,0.8523364,326,1.3904673,475,0.107508,1160
CLIPS,FORJE,ZUNAM,0.8522991,327,1.4071028,401,0.1110846,703
CLIPS,FORJA,ZUNEM,0.8522991,327,1.4442991,251,0.1144358,360
BRINS,PUXAM,TOLHE,0.8520374,328,1.373271,553,0.1076177,1139
BRINS,PUXEM,TOLHA,0.8520374,328,1.4104673,387,0.1109688,715
BRINS,HOTEL,PUXAM,0.8520374,328,1.3381308,699,0.1095287,888
BRINS,PUXEM,TALHO,0.8520374,328,1.4173832,357,0.1105299,759
BREJO,CLIPS,ZUNAM,0.852,329,1.3257944,755,0.1051695,1408
BENZO,CLIPS,RUJAM,0.852,329,1.4162617,363,0.1147661,324
CLIPS,RANJO,ZUMBE,0.852,329,1.2558879,1001,0.1021803,1658
BENZO,CLIPS,URJAM,0.852,329,1.342243,682,0.1118042,612
BRINS,CULPO,JAZEM,0.852,329,1.3869159,491,0.1104373,773
BENZO,CLIPS,JURAM,0.852,329,1.4704673,153,0.1189828,77
BRINS,DUPLO,FAZEM,0.8516636,330,1.3409346,688,0.1070962,1214
BRINS,DOTEM,FUGAZ,0.8516636,330,1.3835514,508,0.1103847,779
CLIPS,NUDEZ,TORAX,0.8515888,331,1.3190654,784,0.1114519,651
BRINS,CALHO,PUXEM,0.8515514,332,1.4571963,201,0.1121019,577
BRINS,COLHA,PUXEM,0.8515514,332,1.4502804,229,0.1125408,537
BRINS,COLHE,PUXAM,0.8515514,332,1.4130841,376,0.1091896,940
BRINS,CHUTO,VEXAM,0.851514,333,1.3878505,486,0.1136292,444
BRINS,FUJEM,VODCA,0.8512523,334,1.368785,570,0.108548,1023
BRINS,CHATO,FUJEM,0.8509533,335,1.3048598,838,0.0919037,1977
BRINS,FUJEM,TOCHA,0.8509533,335,1.3786916,527,0.1097025,865
BICHO,FUJAM,TRENS,0.8509533,335,1.342243,682,0.1059025,1349
BRINS,FUJEM,TACHO,0.8509533,335,1.3856075,498,0.1092636,925
FICHA,TRENS,ZUMBO,0.8508411,336,1.2514019,1014,0.1019664,1673
FICHO,TRENS,ZUMBA,0.8508411,336,1.2514019,1014,0.1019664,1673
BRINS,CHUTO,FAZEM,0.8508411,336,1.3684112,572,0.1085393,1026
FACHO,TRENS,ZUMBI,0.8508411,336,1.1988785,1142,0.0961633,1874
COXIM,FUGAZ,TRENS,0.8506916,337,1.3014953,849,0.1019975,1670
CLIPS,GRUDO,JAZEM,0.8505794,338,1.288785,896,0.1062025,1304
CLIPS,JOGAM,REDUZ,0.8505794,338,1.2448598,1032,0.1061689,1309
CLIPS,JOGAR,MUDEZ,0.8505794,338,1.2861682,905,0.1072508,1191
BRUXO,CLIPS,MANJE,0.8505047,339,1.26,985,0.1020342,1668
CLIPS,DATEM,FUNGO,0.8503178,340,1.4340187,293,0.1084999,1032
CLIPS,DOTEM,FUNGA,0.8503178,340,1.4271028,319,0.1089388,972
CLIPS,FUNDO,VETAM,0.8502804,341,1.5014953,72,0.1145156,348
CLIPS,FUNDE,VOTAM,0.8502804,341,1.42,347,0.1062658,1298
CLIPS,FUNDA,VOTEM,0.8502804,341,1.4571963,201,0.109617,877
BRINS,JULGO,VEDAM,0.850243,342,1.4082243,396,0.1139629,398
BRINS,DEVAM,JULGO,0.850243,342,1.388972,481,0.1135661,450
ADVEM,BRINS,JULGO,0.850243,342,1.2403738,1044,0.0949476,1902
BRINS,CHUPA,FOGEM,0.8501682,343,1.3308411,734,0.1072417,1194
FUGAZ,MILHO,TRENS,0.8501308,344,1.3213084,774,0.105205,1404
BRINS,MUDEZ,VOGAL,0.8501308,344,1.293271,879,0.1069998,1224
BOTEM,CLIPS,DUNGA,0.8500187,345,1.4106542,386,0.1085995,1017
CLIPS,DUNGA,TOMBE,0.8500187,345,1.2895327,893,0.1014711,1702
CLIPS,DUNGA,OBTEM,0.8500187,345,1.2299065,1072,0.0935207,1942
BUNDE,CLIPS,VOTAM,0.8499813,346,1.4035514,416,0.1059266,1348
CLIPS,TUMBA,VENDO,0.8499813,346,1.4011215,429,0.110399,778
BUNDA,CLIPS,VOTEM,0.8499813,346,1.4407477,264,0.1092777,922
BUNDO,CLIPS,VETAM,0.8499813,346,1.4850467,112,0.1141763,381
BRINS,JULHO,VETAM,0.8499065,347,1.4246729,329,0.1148909,308
GALHO,TRENS,ZUMBI,0.8498318,348,1.1923364,1158,0.0963293,1867
CLIPS,GRUDA,VENHO,0.8498318,348,1.3613084,604,0.110004,824
CLIPS,GRUDO,VENHA,0.8498318,348,1.3613084,604,0.110004,824
CLIPS,FUGAZ,VETOR,0.8496075,349,1.2798131,927,0.100965,1727
CLIPS,FUGAZ,VERTO,0.8496075,349,1.4618692,185,0.1171558,139
CLIPS,FUGAZ,TREVO,0.8496075,349,1.2790654,931,0.1023465,1648
CLIPS,FUJAM,HERDO,0.8495327,350,1.4500935,230,0.1179271,106
CLIPS,FUJEM,HORDA,0.8495327,350,1.4057944,407,0.1130285,489
BRINS,FUGAZ,TOPEM,0.8494953,351,1.3697196,566,0.1099857,826
BRINS,FUGAZ,TEMPO,0.8494953,351,1.3517757,646,0.1113892,664
BRINS,FUGAZ,OPTEM,0.8494953,351,1.2119626,1117,0.0951924,1895
ACHEM,BRINS,JULGO,0.8494579,352,1.2194393,1099,0.0945725,1911
BRINS,JULGO,MECHA,0.8494579,352,1.3616822,603,0.1118067,611
BRINS,CEGAM,JULHO,0.8494579,352,1.4571963,201,0.1163648,193
BRINS,CHAME,JULGO,0.8494579,352,1.1641121,1203,0.0838063,2143
BRINS,CAVEM,JULHO,0.8494206,353,1.4069159,402,0.1107437,739
BRINS,CHAGO,LUZEM,0.8493458,354,1.2418692,1041,0.0900658,2014
BRINS,CHEGO,LUZAM,0.8493458,354,1.2971963,864,0.1041583,1500
BUCHO,FIXAM,TRENS,0.8493458,354,1.3424299,681,0.1058825,1350
BRINS,CHOVE,LUZAM,0.8493084,355,1.1861682,1168,0.0927143,1961
BRINS,CHOVA,LUZEM,0.8493084,355,1.2233645,1090,0.0960655,1875
CLIPS,HERDO,ZUMBA,0.8491215,356,1.3428037,679,0.1136518,441
CLIPS,HORDA,ZUMBE,0.8491215,356,1.2613084,981,0.1054021,1390
CLIPS,HERDA,ZUMBO,0.8491215,356,1.3428037,679,0.1136518,441
FUZIL,JOGAM,TRENS,0.8490841,357,1.2220561,1094,0.0985016,1818
BRINS,CAPUZ,FOGEM,0.8490093,358,1.2958879,868,0.1031564,1586
CLIPS,GRAXO,MUDEZ,0.848972,359,1.1783178,1180,0.0880598,2052
BRINS,JAZEM,VULTO,0.8487477,360,1.393271,464,0.1100078,822
CLIPS,GRAVO,NUDEZ,0.8486729,361,1.1558879,1216,0.0862242,2095
JULGO,PICHA,TRENS,0.848486,362,1.3041121,841,0.1035145,1554
JULGA,PICHO,TRENS,0.848486,362,1.3041121,841,0.1035145,1554
CLIPS,JUNHO,VERTA,0.8484486,363,1.4616822,186,0.1167923,156
CLIPS,HAVER,JUNTO,0.8484486,363,1.328785,742,0.1069011,1235
CLIPS,JUNHO,TREVA,0.8484486,363,1.2788785,932,0.101983,1672
CLIPS,JUNHO,TRAVE,0.8484486,363,1.1863551,1167,0.0845393,2130
CLIPS,JUNHO,VETAR,0.8484486,363,1.3906542,474,0.1123396,558
CLIPS,FORJA,MUDEZ,0.8483738,364,1.3691589,568,0.1116006,633
BRINS,COZEM,JULGA,0.8482991,365,1.3897196,478,0.1110358,708
BRINS,PLUGO,VEJAM,0.8480748,366,1.3371963,702,0.1101984,800
BRINS,JOVEM,PULGA,0.8480748,366,1.3788785,526,0.1094506,898
BRINS,JOVEM,PLUGA,0.8480748,366,1.2691589,958,0.104786,1449
BRINS,FEDAM,JULGO,0.8480748,366,1.4248598,328,0.1141808,380
BRINS,PLUGO,VAZEM,0.8479626,367,1.3013084,850,0.1048706,1440
BRINS,FUGAZ,MOLDE,0.8479626,367,1.3353271,712,0.1052675,1397
BRINS,FOLGA,MUDEZ,0.8479626,367,1.348785,656,0.1080537,1092
BRINS,FLAVO,MUDEZ,0.8479252,368,1.1839252,1171,0.0863233,2093
CLIPS,FUNDA,OBTEM,0.8478131,369,1.2766355,939,0.0944168,1914
CLIPS,FUNDA,TOMBE,0.8478131,369,1.3362617,707,0.1023672,1647
BOTEM,CLIPS,FUNDA,0.8478131,369,1.4573832,200,0.1094956,895
CLIPS,FUNDE,TOMBA,0.8478131,369,1.3362617,707,0.1023672,1647
BOTAM,CLIPS,FUNDE,0.8478131,369,1.4201869,346,0.1061445,1312
BATEM,CLIPS,FUNDO,0.8478131,369,1.4642991,173,0.1090567,961
BATOM,CLIPS,FUNDE,0.8478131,369,1.3160748,797,0.0939675,1922
BUFAM,CLIPS,TENDO,0.8478131,369,1.4545794,212,0.113533,454
CLIPS,FENDO,TUMBA,0.8478131,369,1.417757,355,0.1106169,751
BRINS,FUJAM,TOLHE,0.8477383,370,1.3633645,595,0.1069913,1226
BRINS,FUJAM,HOTEL,0.8477383,370,1.3282243,745,0.1089023,977
BRINS,FUJEM,TOLHA,0.8477383,370,1.4005607,430,0.1103424,782
BRINS,FUJEM,TALHO,0.8477383,370,1.4074766,399,0.1099035,843
CLIPS,FUNGO,HERDA,0.8476636,371,1.451215,226,0.1157305,236
CLIPS,FUNGA,HERDO,0.8476636,371,1.451215,226,0.1157305,236
FILHA,TRENS,ZUMBO,0.8476262,372,1.273271,948,0.1026063,1631
CLIPS,FUNDO,HAVER,0.8476262,372,1.3590654,616,0.1065415,1276
FALHO,TRENS,ZUMBI,0.8476262,372,1.2207477,1097,0.0968032,1857
FOLHA,TRENS,ZUMBI,0.8476262,372,1.2138318,1110,0.0972421,1849
FILHO,TRENS,ZUMBA,0.8476262,372,1.273271,948,0.1026063,1631
FIXAM,JULGO,TRENS,0.8475888,373,1.3285981,743,0.1059735,1337
BRINS,CHEGA,DUPLO,0.8473645,374,1.2269159,1079,0.0994931,1783
BRINS,CHEGO,DUPLA,0.8473645,374,1.2269159,1079,0.0994931,1783
BANHE,CLIPS,GRUDO,0.8473645,374,1.2869159,901,0.101194,1714
BANHO,CLIPS,GRUDE,0.8473645,374,1.2869159,901,0.101194,1714
BRINS,DUCHA,GOLPE,0.8473645,374,1.2757009,942,0.1022892,1651
BRINS,CHAVE,DUPLO,0.8473271,375,1.1343925,1242,0.0820485,2163
CLIPS,GOZAR,JUNTE,0.8473271,375,1.3033645,843,0.1042882,1492
BRINS,CHOVE,DUPLA,0.8473271,375,1.1158879,1248,0.0880491,2053
BUNDO,CLIPS,HAVER,0.8473271,375,1.3426168,680,0.1062022,1305
BRINS,JULGO,TAXEM,0.8472897,376,1.355514,631,0.1089953,967
CLIPS,JUNTE,VORAZ,0.8472897,376,1.371028,561,0.1095044,892
BRINS,CALHO,FUJEM,0.8472523,377,1.4472897,242,0.1114754,648
BRINS,COLHE,FUJAM,0.8472523,377,1.4031776,418,0.1085632,1020
BRINS,COLHA,FUJEM,0.8472523,377,1.4403738,266,0.1119143,603
BRINS,FACHO,LUZEM,0.8471402,378,1.3757009,542,0.1086265,1013
BROTE,CLIPS,FUGAZ,0.8471402,378,1.2046729,1131,0.0917658,1980
BRINS,FECHO,LUZAM,0.8471402,378,1.4130841,376,0.113964,397
CLIPS,FUGAZ,OBTER,0.8471402,378,1.1659813,1199,0.0926043,1963
CLIPS,FUNDE,JOGAR,0.8466168,379,1.3330841,724,0.1039447,1514
CLIPS,FUNDA,JORGE,0.8466168,379,1.3749533,545,0.1075127,1159
CLIPS,DUNGA,FORJE,0.8466168,379,1.3693458,567,0.1073984,1172
CLIPS,GRAFO,NUDEZ,0.8465047,380,1.1371963,1238,0.0858036,2106
CLIPS,FUGAZ,RENDO,0.8465047,380,1.417757,355,0.1129477,496
CLIPS,DUNGA,FEROZ,0.8465047,380,1.3416822,685,0.1049783,1428
CLIPS,DRENO,FUGAZ,0.8465047,380,1.2598131,986,0.1012579,1710
